sent_idx,surface,tam,comp,subjtype,pattern,head_lemma,subject_text,aux_chain,following_word,complements,instance_atp,instance_dpb,instance_hr
6,we people are endowed Unlike animals,pres-be,pp_unlike_NP,PL_NP,"pres-be,pp_unlike_NP",endow,we people,"['are', 'endowed']",brain,"{'pp_unlike': 'Unlike animals', 'prep_head': 'unlike', 'pp_with': 'with a brain capable of imagining inventing and dreaming'}",0.14622552148726217,0.2921508326492978,2.0
3,being dragged along a stiflingly crowed bus,prog-be,pp_along_NP,DEF_NP,"prog-be,pp_along_NP",drag,,"['being', 'dragged']",stiflingly,"{'pp_along': 'along a stiflingly crowed bus', 'prep_head': 'along'}",0.10214775684324787,0.20357728727119165,0.0
7,which can be strived towards,modal-be,pp_towards_NP,REL,"modal-be,pp_towards_NP",strive,which,"['can', 'be', 'strived']",hardly,"{'pp_towards': 'towards', 'prep_head': 'towards'}",0.5071763379444445,0.8751863762607806,2.75
10,they should be strived towards,modal-be,pp_towards_NP,PRON,"modal-be,pp_towards_NP",strive,they,"['should', 'be', 'strived']",has,"{'pp_towards': 'towards', 'prep_head': 'towards'}",0.4985859379472493,0.8751863762607806,2.75
4,others are left below the povertyline,pres-be,pp_below_NP,PL_NP,"pres-be,pp_below_NP",leave,others,"['are', 'left']",povertyline,"{'pp_below': 'below the povertyline', 'prep_head': 'below'}",0.1420138638938904,0.2756816621331299,0.0
14,a lot of concepts about education related to boys and girls should be revised Notwithstanding the fact that nowadays kids are having more wise kinds of education,modal-be,pp_notwithstanding_NP,INDEF_NP,"modal-be,pp_notwithstanding_NP",revise,a lot of concepts about education related to boys and girls,"['should', 'be', 'revised']",,"{'pp_notwithstanding': 'Notwithstanding the fact that nowadays kids are having more wise kinds of education', 'prep_head': 'notwithstanding'}",0.47595933684535496,0.7842772853516896,0.0
5,the technology has been improved along the years,perf-be,pp_along_NP,DEF_NP,"perf-be,pp_along_NP",improve,the technology,"['has', 'been', 'improved']",years,"{'pp_along': 'along the years', 'prep_head': 'along'}",0.38944666211967754,0.10762176033149329,1.0
5,this influence can be observed beyond this social group,modal-be,pp_beyond_NP,DEF_NP,"modal-be,pp_beyond_NP",observe,this influence,"['can', 'be', 'observed']",social,"{'pp_beyond': 'beyond this social group', 'prep_head': 'beyond'}",0.3808010231345881,0.36712186013174836,0.0
2,life should be supported until the end,modal-be,pp_until_NP,DEF_NP,"modal-be,pp_until_NP",support,life,"['should', 'be', 'supported']",end,"{'pp_until': 'until the end', 'prep_head': 'until'}",0.35834782957659683,0.312161166176747,0.0
4,that wealth is divided amongst few people who are usually not productive,pres-be,pp_amongst_NP,DEF_NP,"pres-be,pp_amongst_NP",divide,that wealth,"['is', 'divided']",few,"{'pp_amongst': 'amongst few people who are usually not productive', 'prep_head': 'amongst'}",0.10064527634847255,0.19848376713644086,2.0
2,that is expected to replace the formers in a not distant future,pres-be,pp_along_NP,REL,"pres-be,pp_along_NP",expect,that,"['is', 'expected']",replace,"{'pp_along': 'along with the internet', 'prep_head': 'along', 'to_vp': 'to replace the formers in a not distant future'}",0.10794306292155911,0.2119053719407242,2.0
5,only 835 were donated out of the 17 429 transplants in 2005,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",donate,only 835,"['were', 'donated']",spouse,"{'pp_out': 'out of the 17 429 transplants in 2005', 'prep_head': 'out', 'pp_from': 'from a spouse'}",0.13209617911320792,0.2635830183557124,2.725480556997868
5,only 835 were donated out of the 17 429 transplants in 2005,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",donate,only 835,"['were', 'donated']",spouse,"{'pp_out': 'out of the 17 429 transplants in 2005', 'prep_head': 'out', 'pp_from': 'from a spouse'}",0.13209617911320792,0.2635830183557124,2.725480556997868
2,Things are being is experinced off its regular time,prog-be,pp_off_NP,PL_NP,"prog-be,pp_off_NP",experince,Things,"['are', 'being', 'is', 'experinced']",regular,"{'pp_off': 'off its regular time', 'prep_head': 'off'}",0.14868668424751288,0.8945621985089899,1.0
13,the transport facilities have been improved between Hong Kong and mainland China,perf-be,pp_between_NP,PL_NP,"perf-be,pp_between_NP",improve,the transport facilities,"['have', 'been', 'improved']",Hong,"{'pp_between': 'between Hong Kong and mainland China', 'prep_head': 'between'}",0.36752097074264933,0.10762176033149329,1.584962500721156
5,the disposal of waste from households and commercial and industries can be landfilled several stories over Victoria Park,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",landfille,the disposal of waste from households and commercial and industries,"['can', 'be', 'landfilled']",several,"{'pp_over': 'several stories over Victoria Park', 'prep_head': 'over'}",0.3821726835079586,0.3751863762607806,2.7954618442383214
7,the decision of banning smoke should be left up to the Industry rather than to the government,modal-be,pp_than_NP,DEF_NP,"modal-be,pp_than_NP",leave,the decision of banning smoke,"['should', 'be', 'left']",Industry,"{'pp_than': 'up to the Industry rather than to the government', 'prep_head': 'than'}",0.305922643310161,0.10234042325816962,1.4591479170272448
4,the credit card can be used all over the world,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",use,the credit card,"['can', 'be', 'used']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.33958289435256794,0.18636284684901588,2.7954618442383214
