doc_id,surface,tam,comp,subjtype,head_lemma,pattern,subject_text,instance_atp,instance_dpb,instance_hr
USARG_0036,"is performed as their "" simple "" solution to a complex problem",pres-be,pp_as_NP,DEF_NP,perform,"pres-be,pp_as_NP",,0.057157187483169065,0.1127484246243335,4.9837880587523955
USARG_0036,"The procedure , abortion is being performed at a rate which has been continually on the rise for years",prog-be,pp_at_NP,DEF_NP,perform,"prog-be,pp_at_NP","The procedure , abortion",0.12717310534146603,0.3689772176442075,1.0
USARG_0036,Whichever position is taken,pres-be,Ø,DEF_NP,take,"pres-be,Ø",Whichever position,0.01282450045780147,0.023859535735444595,7.18139306478936
USARG_0036,an innocent child being denied,prog-be,Ø,INDEF_NP,deny,"prog-be,Ø",an innocent child,0.04992539687348522,0.09397721764420747,5.259991029008325
USARG_0036,who have been sworn to abide by the Hippocratic Oath,perf-be,to_VP,REL,swear,"perf-be,to_VP",who,0.5929737249251323,0.9646146388754241,3.584962500721156
USARG_0036,Abortion can be justified as a moral act,modal-be,pp_as_NP,DEF_NP,justify,"modal-be,pp_as_NP",Abortion,0.5083284407541745,0.887542413960252,4.0
USARG_0036,the unborn child is equipped by the sixth week after conception,pres-be,by_NP,DEF_NP,equip,"pres-be,by_NP",the unborn child,0.4576419184574783,0.9127484246243335,6.097605888347559
USARG_0036,it has been established,perf-be,Ø,PRON,establ,"perf-be,Ø",it,0.3820401907054136,0.118460792721578,5.114369445886754
USARG_0036,biological aspects are consulted,pres-be,Ø,PL_NP,consult,"pres-be,Ø",biological aspects,0.46152945145839197,0.920261754726127,7.18139306478936
USARG_0036,it can be shown,modal-be,Ø,PRON,show,"modal-be,Ø",it,0.3639837747449591,0.30420908062691876,6.864314256313429
USARG_0036,"This is known as murder , which without a doubt is legally and morally wrong",pres-be,pp_as_NP,PRON,know,"pres-be,pp_as_NP",This,0.19390140074822576,0.37428688616279504,4.9837880587523955
USARG_0036,the morality of abortion in itself is examined,pres-be,Ø,DEF_NP,examine,"pres-be,Ø",the morality of abortion in itself,0.12406621963699034,0.2460817579576668,7.18139306478936
USARG_0036,further questioning may be utilized in regard to the morality of the doctors who play a hand in the abortion procedure,modal-be,pp_in_NP,DEF_NP,utilize,"modal-be,pp_in_NP",further questioning,0.22045761459430244,0.2208757472935854,5.523856189774727
USARG_0036,These questions will be answered to the satisfaction of all involved,modal-be,pp_to_NP,PL_NP,answer,"modal-be,pp_to_NP",These questions,0.4524995194477409,0.887542413960252,3.584962500721156
USARG_0154,citizens could be forced to house soldiers,modal-be,pp_in_NP,PL_NP,force,"modal-be,pp_in_NP",citizens,0.25992681328385736,0.0958757472935854,5.523856189774727
USARG_0154,the right of the people to keep and bear arms has been interpreted to mean any type of firearm,perf-be,to_VP,DEF_NP,interpret,"perf-be,to_VP",the right of the people to keep and bear arms,0.46912397458997307,0.46461463887542415,3.584962500721156
USARG_0154,"Firearms are used to murder nearly 12,000 people annually",pres-be,to_VP,PL_NP,use,"pres-be,to_VP",Firearms,0.055030007002078885,0.092136754726127,5.481727678869736
USARG_0154,"an estimated 200,000 people are injured",pres-be,Ø,PL_NP,injure,"pres-be,Ø","an estimated 200,000 people",0.46152945145839197,0.920261754726127,7.18139306478936
USARG_0154,Firearms are needed for national defense and law enforcement,pres-be,pp_for_NP,PL_NP,need,"pres-be,pp_for_NP",Firearms,0.15724169686071893,0.29063212509649733,4.6808134280893965
USARG_0154,Firearms are needed for national defense and law enforcement,pres-be,pp_for_NP,PL_NP,need,"pres-be,pp_for_NP",Firearms,0.15724169686071893,0.29063212509649733,4.6808134280893965
USARG_0154,More aggressive gun control laws are needed,pres-be,Ø,PL_NP,need,"pres-be,Ø",More aggressive gun control laws,0.15724169686071893,0.29063212509649733,7.18139306478936
USARG_0154,they are supported by the majority of the people ( Cozic 198 ),pres-be,by_NP,PRON,support,"pres-be,by_NP",they,0.0527464717706155,0.10207993654430882,6.097605888347559
USARG_0154,guns will be outlawed,modal-be,Ø,PL_NP,outlaw,"modal-be,Ø",guns,0.32648252461263305,0.3875424139602521,6.864314256313429
USARG_0154,their destructive misuse can be allowed to continue,modal-be,to_VP,DEF_NP,allow,"modal-be,to_VP",their destructive misuse,0.3916200565798051,0.3875424139602521,5.058813890331199
USARG_0154,Some increases in regulation are needed,pres-be,Ø,PL_NP,need,"pres-be,Ø",Some increases in regulation,0.15724169686071893,0.29063212509649733,7.18139306478936
USARG_0154,Not every individual who wants to own a gun should be trusted with it,modal-be,pp_with_NP,INDEF_NP,trust,"modal-be,pp_with_NP",Not every individual who wants to own a gun,0.501497853533243,0.887542413960252,4.459431618637295
USARG_0154,that are enforced,pres-be,Ø,REL,enforce,"pres-be,Ø",that,0.0610447204840827,0.120261754726127,7.18139306478936
USARG_0154,Controls that go further than present federal legislation in preventing the problems of firearm misuse and that are more rigorously enforced are needed,pres-be,Ø,PL_NP,need,"pres-be,Ø",Controls that go further than present federal legislation in preventing the problems of firearm misuse and that are more rigorously enforced,0.15724169686071893,0.29063212509649733,7.18139306478936
USARG_0154,our Constitution was drafted,past-be,Ø,PROPN,draft,"past-be,Ø",our Constitution,0.14483418773287896,0.28534496687671673,6.5035041626371415
USARG_0046,the Fourth Amendment should be interpreted,modal-be,Ø,PROPN,interpret,"modal-be,Ø",the Fourth Amendment,0.3128596759545578,0.13754241396025207,6.864314256313429
USARG_0046,should be allowed into the courtroom,modal-be,pp_into_NP,DEF_NP,allow,"modal-be,pp_into_NP",,0.3838330658955544,0.3875424139602521,2.94770277922009
USARG_0046,O.J. Simpson 's rights as a citizen of the United States were disregarded,past-be,Ø,PL_NP,disreg,"past-be,Ø",O.J. Simpson 's rights as a citizen of the United States,0.4872633829250407,0.9621909840038778,6.5035041626371415
USARG_0046,they would have been labeled as incompetent,modal-be,pp_as_NP,PRON,label,"modal-be,pp_as_NP",they,0.31172705158078606,0.29794797220875746,4.0
USARG_0046,the detectives who went into Mr. Simpson 's home were confronted by a series of portentous questions that needed quick answers,past-be,by_NP,PL_NP,confront,"past-be,by_NP",the detectives who went into Mr. Simpson 's home,0.15060373864300186,0.2955243173372112,5.087462841250338
USARG_0046,any evidence the detectives discovered will be allowed into the courtroom,modal-be,pp_into_NP,DEF_NP,allow,"modal-be,pp_into_NP",any evidence the detectives discovered,0.3348347318100523,0.3875424139602521,2.94770277922009
USARG_0046,O.J. 's 4th Amendment rights were disregarded,past-be,Ø,PL_NP,disreg,"past-be,Ø",O.J. 's 4th Amendment rights,0.4872633829250407,0.9621909840038778,6.5035041626371415
USARG_0046,being allowed into the courtroom,prog-be,pp_into_NP,DEF_NP,allow,"prog-be,pp_into_NP",,0.026831969306142234,0.04040578907277889,2.0
USARG_0046,Fuhrman was unaccounted for at least ten minutes,past-be,pp_for_NP,PROPN,unaccounte,"past-be,pp_for_NP",Fuhrman,0.47840988655336697,0.9520116335433835,3.459431618637298
USARG_0124,Florida was faced in the fourth quarter,past-be,pp_in_NP,PROPN,face,"past-be,pp_in_NP",Florida,0.02265260457213923,0.042920724452474336,5.087462841250338
